year,month,pdo,date
1999,7,-0.66,1999-07-01
1999,8,-0.96,1999-08-01
1999,9,-1.53,1999-09-01
1999,10,-2.23,1999-10-01
1999,11,-2.05,1999-11-01
1999,12,-1.63,1999-12-01
2000,1,-2.0,2000-01-01
2000,2,-0.83,2000-02-01
2000,3,0.29,2000-03-01
2000,4,0.35,2000-04-01
2000,5,-0.05,2000-05-01
2000,6,-0.44,2000-06-01
2000,7,-0.66,2000-07-01
2000,8,-1.19,2000-08-01
2000,9,-1.24,2000-09-01
2000,10,-1.3,2000-10-01
2000,11,-0.53,2000-11-01
2000,12,0.52,2000-12-01
2001,1,0.6,2001-01-01
2001,2,0.29,2001-02-01
2001,3,0.45,2001-03-01
2001,4,-0.31,2001-04-01
2001,5,-0.3,2001-05-01
2001,6,-0.47,2001-06-01
2001,7,-1.31,2001-07-01
2001,8,-0.77,2001-08-01
2001,9,-1.37,2001-09-01
2001,10,-1.37,2001-10-01
2001,11,-1.26,2001-11-01
2001,12,-0.93,2001-12-01
2002,1,0.27,2002-01-01
2002,2,-0.64,2002-02-01
2002,3,-0.43,2002-03-01
2002,4,-0.32,2002-04-01
2002,5,-0.63,2002-05-01
2002,6,-0.35,2002-06-01
2002,7,-0.31,2002-07-01
2002,8,0.6,2002-08-01
2002,9,0.43,2002-09-01
2002,10,0.42,2002-10-01
2002,11,1.51,2002-11-01
2002,12,2.1,2002-12-01
2003,1,2.09,2003-01-01
2003,2,1.75,2003-02-01
2003,3,1.51,2003-03-01
2003,4,1.18,2003-04-01
2003,5,0.89,2003-05-01
2003,6,0.68,2003-06-01
2003,7,0.96,2003-07-01
2003,8,0.88,2003-08-01
2003,9,0.01,2003-09-01
2003,10,0.83,2003-10-01
2003,11,0.52,2003-11-01
2003,12,0.33,2003-12-01
2004,1,0.43,2004-01-01
2004,2,0.48,2004-02-01
2004,3,0.61,2004-03-01
2004,4,0.57,2004-04-01
2004,5,0.88,2004-05-01
2004,6,0.04,2004-06-01
2004,7,0.44,2004-07-01
2004,8,0.85,2004-08-01
2004,9,0.75,2004-09-01
