year,month,nino12,date
2010,4,-0.11,2010-04-01
2010,5,0.24,2010-05-01
2010,6,0.01,2010-06-01
2010,7,-1.03,2010-07-01
2010,8,-1.31,2010-08-01
2010,9,-1.22,2010-09-01
2010,10,-1.28,2010-10-01
2010,11,-1.31,2010-11-01
2010,12,-0.9,2010-12-01
2011,1,-0.48,2011-01-01
2011,2,-0.16,2011-02-01
2011,3,-0.88,2011-03-01
2011,4,-0.19,2011-04-01
2011,5,0.11,2011-05-01
2011,6,0.3,2011-06-01
2011,7,0.1,2011-07-01
2011,8,-0.21,2011-08-01
2011,9,-0.74,2011-09-01
2011,10,-0.78,2011-10-01
2011,11,-0.57,2011-11-01
2011,12,-0.68,2011-12-01
2012,1,-0.18,2012-01-01
2012,2,0.36,2012-02-01
2012,3,0.16,2012-03-01
2012,4,0.9,2012-04-01
2012,5,0.87,2012-05-01
2012,6,1.02,2012-06-01
2012,7,0.4,2012-07-01
2012,8,0.07,2012-08-01
2012,9,0.06,2012-09-01
2012,10,-0.37,2012-10-01
2012,11,-0.41,2012-11-01
2012,12,-0.85,2012-12-01
2013,1,-0.68,2013-01-01
2013,2,-0.73,2013-02-01
2013,3,-0.67,2013-03-01
2013,4,-1.23,2013-04-01
2013,5,-1.58,2013-05-01
2013,6,-1.91,2013-06-01
2013,7,-1.6,2013-07-01
2013,8,-1.16,2013-08-01
2013,9,-0.77,2013-09-01
2013,10,-0.75,2013-10-01
2013,11,-0.56,2013-11-01
2013,12,-0.44,2013-12-01
2014,1,-0.01,2014-01-01
2014,2,-0.61,2014-02-01
2014,3,-0.31,2014-03-01
2014,4,-0.03,2014-04-01
2014,5,1.06,2014-05-01
2014,6,1.54,2014-06-01
2014,7,0.98,2014-07-01
2014,8,0.89,2014-08-01
2014,9,0.8,2014-09-01
2014,10,0.69,2014-10-01
2014,11,0.8,2014-11-01
2014,12,0.41,2014-12-01
2015,1,-0.16,2015-01-01
2015,2,-0.53,2015-02-01
2015,3,0.09,2015-03-01
2015,4,1.0,2015-04-01
2015,5,1.55,2015-05-01
2015,6,2.19,2015-06-01
2015,7,2.54,2015-07-01
2015,8,1.65,2015-08-01
2015,9,2.28,2015-09-01
2015,10,2.12,2015-10-01
2015,11,2.28,2015-11-01
2015,12,2.21,2015-12-01
2016,1,1.79,2016-01-01
2016,2,1.3,2016-02-01
2016,3,1.35,2016-03-01
2016,4,0.45,2016-04-01
2016,5,0.49,2016-05-01
2016,6,0.64,2016-06-01
2016,7,0.25,2016-07-01
2016,8,0.24,2016-08-01
2016,9,0.57,2016-09-01
2016,10,0.34,2016-10-01
2016,11,0.12,2016-11-01
2016,12,0.43,2016-12-01
2017,1,0.93,2017-01-01
2017,2,1.36,2017-02-01
2017,3,1.61,2017-03-01
2017,4,1.05,2017-04-01
2017,5,0.21,2017-05-01
2017,6,-0.24,2017-06-01
2017,7,-0.32,2017-07-01
2017,8,-0.34,2017-08-01
2017,9,-0.81,2017-09-01
2017,10,-0.81,2017-10-01
2017,11,-1.2,2017-11-01
2017,12,-1.42,2017-12-01
2018,1,-1.12,2018-01-01
2018,2,-0.97,2018-02-01
2018,3,-1.35,2018-03-01
2018,4,-1.03,2018-04-01
2018,5,-0.75,2018-05-01
2018,6,-0.72,2018-06-01
2018,7,-0.4,2018-07-01
2018,8,-0.27,2018-08-01
2018,9,-0.08,2018-09-01
2018,10,0.16,2018-10-01
2018,11,0.81,2018-11-01
2018,12,1.05,2018-12-01
2019,1,0.83,2019-01-01
2019,2,0.52,2019-02-01
2019,3,0.12,2019-03-01
2019,4,0.3,2019-04-01
2019,5,0.2,2019-05-01
2019,6,-0.34,2019-06-01
2019,7,-0.69,2019-07-01
2019,8,-0.76,2019-08-01
